name,total,一般,英語文,自然科學,音樂,視覺藝術,體育一般
新北市鶯歌區永吉國民小學,3,3,0,0,0,0,0
新北市八里區大崁國民小學,2,1,1,0,0,0,0
新北市三峽區中園國民小學,1,0,0,0,0,0,0
新北市鶯歌區昌福國民小學,4,2,1,0,1,0,0
新北市蘆洲區忠義國民小學,2,0,0,1,0,1,0
新北市泰山區義學國民小學,7,5,0,1,0,0,0
新北市三峽區龍埔國民小學,2,0,0,0,0,0,0
新北市林口區頭湖國民小學,4,3,0,0,0,0,0
新北市淡水區新市國民小學,7,4,0,0,0,0,0
新北市林口區東湖國民小學,14,8,2,0,0,0,0
